"Date of sale","Time of sale","Date of listing","Bundle","Buyer","Brand","Description","Size","Item price","Buyer shipping cost","Total","USPS Cost","Depop fee","Depop Payments fee","Boosting fee","Total fee VAT","Total fee excl. VAT","Payment type","Category","Country","Unknown Tax","US Sales tax","Australia Sales tax","Refunded to buyer amount","Fees refunded to seller"
"18/03/2023","10:55 PM","21/09/2022","No","tia100","N/A","00s cargo vest top

Vintage 2000s cargo vest features contrasting fabrics and pearl buttons on front. Excellent condition!

✰ Measurements
Label - S fits UK8-10
Length - 17”
Pit to pit - 15.5”
XS/S mannequin. 

✰ 2nd class shipping 2+ items free UK shipping
✰ Please ask for international shipping!  
✰ USA - £20 shipping covers up to 3 items

🦋 Sales are final! 🦋","S","£17.00","£3.15","£20.15","£0.00","£2.02","£0.88","=""-""","£0.48","£2.42","STRIPE","Tank tops","GB",,,,"N/A","N/A"
"19/03/2023","9:35 PM","21/02/2023","No","dollsoftheeast","N/A","edc long sleeve top

Edc by Esprit black long sleeve. Features peacock embroidery across shoulder and adjustable drawstrings along neckline nice metal puller detail on end of cords. Excellent condition!

✰  Measurements
Label - S fits S/M UK8/10/12
Length - 23”
Shoulder to shoulder - 12.5”
Pit to pit - 16.5”
Sleeve from pit - 1”
XS/S mannequin. 

✰ 2+ items for free UK shipping!!
✰ USA - £9.75
✰ EUROPE - £8.75

🐸 Sales are final! 🐸
FC416","S","£26.00","£3.05","£29.05","£0.00","£2.90","£1.14","=""-""","£0.67","£3.37","STRIPE","T-shirts","GB",,,,"N/A","N/A"
"21/03/2023","2:32 PM","28/02/2023","No","megarms","N/A","Graphic print gorpcore tshirt 

Maroon/Burgundy T-shirt with light blue screen print across front. Excellent condition! 

✰ Measurements
Label - no size fits XS/S UK6/8/10
Length - 21.5”
Shoulder to shoulder - 13”
Pit to pit - 15.5”
Sleeve from pit - 1”
XS/S mannequin. 

✰ 2+ items for free UK shipping!!
✰ USA - £10.65
✰ EUROPE - £9.20

🐸 Sales are final! 🐸","S","£26.00","£3.05","£29.05","£0.00","£2.90","£1.14","=""-""","£0.67","£3.37","STRIPE","T-shirts","GB",,,,"N/A","N/A"
"23/03/2023","8:01 AM","07/01/2023","No","azizaxblue","Esprit","EDC cargo jacket

Y2k 00s zip up jacket by edc esprit. Features brown rope toggles flower prints and arm patches!Excellent condition!

✰ Measurements
Label - Youth small fits XS-S UK6-10
Length - 20.5”
Pit to pit - 16.75”
Shoulder to shoulder - 13.5”
Sleeve from pit - 16.5”
XS/S mannequin. 

✰ 2+ items for free UK shipping!!
✰ USA - £20
✰ EUROPE - £12.15

🦋 Sales are final! 🦋","M","£35.00","£3.95","£38.95","£0.00","£3.90","£1.43","=""-""","£0.89","£4.44","STRIPE","Outerwear","GB",,,,"N/A","N/A"
"25/03/2023","1:44 PM","28/12/2022","No","**ANONYMIZED_24803315**","N/A","**ANONYMIZED**","L","£23.00","£3.05","£26.05","£0.00","£2.60","£1.06","=""-""","£0.61","£3.05","STRIPE","T-shirts","**ANONYMIZED**",,,,"N/A","N/A"
"25/03/2023","11:37 PM","21/09/2022","No","geozadfrack","Esprit","EDC esprit cargo shirt

Vintage 2000s beige esprit cargo shirt. 3/4 length sleeves with cargo details on chest and shoulders. Excellent condition!

✰ Measurements
Label - UK8 fits s-m UK8-12
Length - 23”
Pit to pit - 18.5”
Shoulder - 5.5”
Sleeve - 17.5”
XS/S mannequin. 

✰ 2nd class shipping 2+ items free UK shipping
✰ Please ask for international shipping!  
✰ USA - £20 shipping covers up to 3 items

🦋 Sales are final! 🦋","8","£32.00","£4.45","£36.45","£0.00","£3.64","£1.36","=""-""","£0.83","£4.17","STRIPE","Shirts","GB",,,,"N/A","N/A"
"27/03/2023","8:13 PM","02/02/2023","No","mel8ka","Diesel","Diesel kitten heels

Gorpcore vintage Diesel heels. Features bright green mesh upper with a brown leather trim and yellow stripe. Eyelet details in leather. Light signs of use (heel tips are worn don’t need replacing yet).  overall excellent vintage condition! 

Comes with plain replacement shoe box. 

✰ Measurements
Label - UK5.5 US7.5 EU38
Widest point of sole - 8.5cm
Heel to tip - 27cm
Heel height - 2.75”

✰ UK - 1pm Next Day
✰ USA - £27.95
✰ EUROPE - £15.61

🐸 Sales are final! 🐸","UK 5.5","£140.00","£8.45","£148.45","£0.00","£14.84","£4.61","=""-""","£3.24","£16.21","STRIPE","Shoes","GB",,,,"N/A","N/A"
"28/03/2023","8:20 PM","04/11/2022","No","sealsk","N/A","Cargo khaki dress

Gorpcore 00s mini dress with little pocket on the front. Khaki cotton nice back detail. Excellent condition!

✰ Measurements
Label - 36 fits S UK8-10
Length - 27”
Waist - 13.5”
Pit to pit - 15.5”
XS/S mannequin. 

✰ 2+ items for free UK shipping!!
✰ USA- £15 (£20 covers 3 items)
✰ EUROPE- £12 (covers 3 items)","S","£36.00","£4.45","£40.45","£0.00","£4.04","£1.47","=""-""","£0.92","£4.59","STRIPE","Dresses","GB",,,,"N/A","N/A"
"31/03/2023","8:22 AM","06/02/2023","No","baileykinley","N/A","00s rib knit jumper

Gorpcore 2000s red jumper. Features branded loop on arm. Think it’s a men’s size good for baggy oversized fit excellent condition! 

✰ Measurements
Label - M (mens) would fit baggy women’s L/XL
Length - 25""
Pit to pit - 19.5""
Shoulder to shoulder - 18""
Sleeve from pit - 20""
XS/S mannequin. 

✰ 2+ items for free UK shipping!!
✰ USA - £20
✰ EUROPE - £12

🐸 Sales are final! 🐸","M","£38.00","£3.95","£41.95","£0.00","£4.20","£1.52","=""-""","£0.95","£4.77","STRIPE","Sweaters","GB",,,,"N/A","N/A"
"03/04/2023","8:15 PM","07/01/2023","No","kooyoi","N/A","00s v neck graphic tee 

Y2k 2000s graphic print tshirt. Features grey text screen print and contrast silvery grey stitching. Fabric is slightly off white colour. Great condition! 

✰ Measurements
Label - 2 fits S-M UK8-12
Length - 21.5”
Pit to pit - 17”
Shoulder to shoulder - 13.5”
Sleeve from pit - 1”
XS/S mannequin. (Pinned)

✰ 2+ items for free UK shipping!!
✰ USA - £10.65
✰ EUROPE - £9.20

🐰 Sales are final! 🐰","M","£25.00","£3.05","£28.05","£0.00","£2.80","£1.11","=""-""","£0.65","£3.26","STRIPE","T-shirts","GB",,,,"N/A","N/A"
"04/04/2023","11:55 AM","01/01/2023","Yes","skeezydunit","Esprit","Edc cargo dress 

00s y2k gorpcore edc by esprit cargo dress. Features button down opening at front pockets on chest bum and sides. Screen print above right pocket and adjustable sleeves. Excellent condition! 

✰ Measurements
Label - 32 fits S UK8-10
Length - 31.5”
Waist - 15”
Pit to pit - 16.5”
Shoulder to shoulder - 14.25”
Sleeve from pit - 3.5” (adjustable)
XS/S mannequin. 

✰ 2+ items for free UK shipping!!
✰ USA - £19.80
✰ EUROPE - £11.20

🦋 Sales are final! 🦋","S","£45.00","£20.00","£123.50","£0.00","£5.50","£3.88","=""-""","£1.56","£7.82","STRIPE","Dresses","US",,,,"N/A","N/A"
"04/04/2023","11:55 AM","08/02/2023","Yes","skeezydunit","Esprit","Gorpcore EDC Cargo dress

2000s esprit cargo mini dress. Straps on shoulders/sleeves adjustable at waist. Nice cargo pocket details. Detachable hood! Excellent condition!

✰ Measurements
Label - 32 fits S/M UK8/10/12
Waist - 15”
Length - 31.75”
Pit to pit - 16.5”
Shoulder to Shoulder - 15”
Sleeve from pit - 3” rolled (unrolled 5”)
XS/S mannequin. (Pinned to fit)

✰ 2+ items free UK shipping!!
✰ EU - £14.65
✰ USA - £20

🐸 Sales are final! 🐸","S","£58.50","=""-""","=""-""","=""-""","£6.85","=""-""","=""-""","=""-""","=""-""","STRIPE","Dresses","US","=""-""","=""-""","=""-""","N/A","N/A"
"04/04/2023","8:49 PM","21/09/2022","No","raejenbergin","N/A","00s cargo midi skirt

2000s cargo skirt. Features buckled cargo pocket and asymmetric panelling with ruffle detail around the hem. Excellent condition!

✰ Measurements
Label - FR38 M fits UK10-12
Length - 23”
Waist - 14/14.5”
XS/S mannequin. 

✰ 2nd class shipping 2+ items free UK shipping
✰ Please ask for international shipping!  
✰ USA - £20 shipping covers up to 3 items

🦋 Sales are final! 🦋","M","£36.00","£4.45","£40.45","£0.00","£4.04","£0.00","=""-""","£0.67","£3.37","PAYPAL","Skirts","GB",,,,"N/A","N/A"
"05/04/2023","12:35 AM","28/02/2023","No","janicdra","N/A","Gorpcore longsleeve khaki T-shirt

2000s longsleeve top. Khaki cotton with footsteps graphic across front. Fabric is piling and screen print cracked on a few footprints. Otherwise good condition!

✰ Measurements
Label - 2 fits M UK10/12
Length - 22”
Shoulder to shoulder - 13”
Pit to pit - 17.5”
Sleeve from pit - 18.5”
XS/S mannequin. (Pinned)

✰ 2+ items for free UK shipping!!
✰ USA - £10.65
✰ EUROPE - £9.20

🐸 Sales are final! 🐸","M","£18.00","£3.95","£21.95","£0.00","£2.20","£0.94","=""-""","£0.52","£2.62","STRIPE","T-shirts","GB",,,,"N/A","N/A"
"10/04/2023","9:44 AM","27/02/2023","No","rebeconf","N/A","Gorpcore zip up jumper. Grey knit featuring pocket flap details on front and sleeve buttoned epaulets metal clip by hem double zip! Excellent condition! 

✰ Measurements
Label - S Fits S/M UK8/10/12
Length - 22”
Shoulder to shoulder - 14.5”
Pit to pit - 16.75”
Sleeve from pit - 16.5”
XS/S mannequin. 

✰ 2+ items for free UK shipping!!
✰ USA - £19.80
✰ EUROPE - £11.12

🐸 Sales are final! 🐸","S","£46.00","£3.95","£49.95","£0.00","£5.00","£1.75","=""-""","£1.13","£5.62","STRIPE","Sweaters","GB",,,,"N/A","N/A"
"10/04/2023","5:28 PM","27/02/2023","No","mabelmcginley","Esprit","Edc zip up sweater

Lightweight gorpcore edc jacket. Features ribbed cuffs and hem chunky rib knit collar which zips up or sits on shoulders. Brown velvet tape along inside zipper edge. Excellent condition!

✰ Measurements
Label - XS fits XS/S UK6/8/10
Length - 22”
Pit to pit - 16.5”
Sleeve from neck - 28”
Sleeve from pit - 20”
XS/S mannequin. 

✰ 2+ items for free UK shipping!!
✰ USA - £19.80
✰ EUROPE - £11.12

🐸 Sales are final! 🐸","S","£42.00","£4.71","£46.71","£0.00","£4.67","£1.65","=""-""","£1.05","£5.27","STRIPE","Outerwear","GB",,,,"N/A","N/A"
"14/04/2023","4:41 AM","01/01/2023","No","_piscesrising_theorem","Esprit","Edc khaki cargo dress 

00s y2k gorpcore edc by esprit cargo dress. Features button down opening at front pockets on chest and bum. Adjustable straps on waist and sleeves. Excellent condition! 

✰ Measurements
Label - 34 fits S UK8-10
Length - 32”
Waist - 15.25”
Pit to pit - 16.5”
Shoulder to shoulder - 14”
Sleeve from pit - 5” (shortens to 3.5”)
XS/S mannequin. 

✰ 2+ items for free UK shipping!!
✰ USA - £19.80
✰ EUROPE - £11.20

🦋 Sales are final! 🦋","S","£48.00","£3.95","£51.95","£0.00","£5.20","£1.81","=""-""","£1.17","£5.84","STRIPE","Dresses","GB",,,,"N/A","N/A"
"16/04/2023","7:26 AM","05/02/2023","Yes","dollsoftheeast","N/A","00s gorpcore graphic shirt

Lightweight lime green cotton shirt. Features dark green abstract screen print. Excellent condition!

✰ Measurements
Label - no size fits L/XL UK12-16
Length - 25.5”
Pit to pit - 19.5”
Shoulder - 5”
Sleeve - 24.5”
XS/S mannequin. (Pinned to fit)

✰ 2+ items for free UK shipping!!
✰ USA - £9.75
✰ EUROPE - £8.75

🐸 Sales are final! 🐸","L","£36.00","£0.00","£62.00","£0.00","£3.60","£2.10","=""-""","£0.95","£4.75","STRIPE","Shirts","GB",,,,"N/A","N/A"
"16/04/2023","7:26 AM","15/04/2023","Yes","dollsoftheeast","Esprit","EDC pink graphic tee

Edc by esprit light pink tshirt. Features darker pink print across front. Excellent condition!

✰ Measurements
Label - S fits S/M UK8/10
Length - 22""
Shoulder to shoulder - 13""
Pit to pit - 16.5""
Sleeve from pit - 1""
XS/S mannequin. 

✰ 2+ items for free UK shipping!!
✰ USA - £10.55
✰ EUROPE - £8.85

🐸 Sales are final! 🐸
FC466","S","£26.00","=""-""","=""-""","=""-""","£2.60","=""-""","=""-""","=""-""","=""-""","STRIPE","T-shirts","GB","=""-""","=""-""","=""-""","N/A","N/A"
"17/04/2023","9:35 AM","16/04/2023","No","simifw","N/A","Gorpcore khaki crossbody bag

2000s khaki canvas crossbody bag. Features flower design on front flap. Closes with Velcro strips. Inside is lined with khaki nylon one interior zip pocket. Adjustable strap. Very faint grey marks on top left of flap otherwise excellent condition!

✰ Measurements
Width - 10”
Height- 8.5”
Main opening - 10.5”
XS/S mannequin. 

✰ 2+ items for free UK shipping!!
✰ USA - £10.55
✰ EUROPE - £8.85

🐸 Sales are final! 🐸
FA34",,"£26.00","£2.70","£28.70","£0.00","£2.87","£1.13","=""-""","£0.67","£3.33","STRIPE","Bags & Purses","GB",,,,"N/A","N/A"
"18/04/2023","3:33 PM","15/04/2023","Yes","cibo666","N/A","Lulu teddy bear vest 

Lulu castagnette white cap sleeve vest. Features denim effect blue teddy bear with little raised dots  graphic on front. Excellent condition!

✰ Measurements
Label - no size fits S/M UK8/10
Length - 19.5""
Shoulder to shoulder - 12""
Pit to pit - 15""
XS/S mannequin. 

✰ 2+ items for free UK shipping!!
✰ USA - £10.55
✰ EUROPE - £8.85

🐸 Sales are final! 🐸
FC476","S","£30.00","£10.68","£117.40","£0.00","£3.36","£0.00","=""-""","£0.56","£2.80","PAYPAL","Tank tops","GR","£22.72",,,"N/A","N/A"
"18/04/2023","3:33 PM","16/04/2023","Yes","cibo666","N/A","Gorpcore khaki teddy bear tee

2000s khaki tshirt. Featuring orange text screen print and a light khaki geometric patch on front. Chunky hem detail excellent condition!

✰ Measurements
Label - 2 fits S/M UK8/10
Length - 19.75""
Shoulder to shoulder - 12.5""
Pit to pit - 16.5""
Sleeve from pit - 1""
XS/S mannequin. 

✰ 2+ items for free UK shipping!!
✰ USA - £10.55
✰ EUROPE - £8.85

🐸 Sales are final! 🐸
FC470","M","£26.00","=""-""","=""-""","=""-""","£2.96","=""-""","=""-""","=""-""","=""-""","PAYPAL","T-shirts","GR","=""-""","=""-""","=""-""","N/A","N/A"
"18/04/2023","3:33 PM","16/04/2023","Yes","cibo666","N/A","Lulu khaki teddy bear vest

2000s Lulu castagnette khaki vest. Featuring brown/beige/red print and embroidered teddy bear graphic on chest with text screen print ‘No World War III please’. Dark green and red stitching detail around arm holes and hem. Excellent condition!

✰ Measurements
Label - M fits S/M UK8/10/12
Length - 22""
Pit to pit - 15.25""
XS/S mannequin.

✰ 2+ items for free UK shipping!!
✰ USA - £10.55
✰ EUROPE - £8.85

🐸 Sales are final! 🐸
FC477","M","£28.00","=""-""","=""-""","=""-""","£3.16","=""-""","=""-""","=""-""","=""-""","PAYPAL","Tank tops","GR","=""-""","=""-""","=""-""","N/A","N/A"
"19/04/2023","8:48 PM","13/04/2023","No","elaksi","Replay","Replay backless halter top

Navy blue replay halter backless top with white velvety ‘80’ across front. Features elastic red back straps and neck ties. Excellent condition!

✰ Measurements
Label - no size fits XS/S UK6/8/10
Length - 15""
Pit to pit - stretchy around 14-15""
XS/S mannequin. 

✰ 2+ items for free UK shipping!!
✰ USA - £9.75
✰ EUROPE - £8.75

🐸 Sales are final! 🐸
FC480","S","£28.00","£2.70","£30.70","£0.00","£3.07","£1.19","=""-""","£0.71","£3.55","STRIPE","T-shirts","GB",,,,"N/A","N/A"
"20/04/2023","10:51 PM","13/04/2023","No","bobbyanna","N/A","Graphic print baby tee 

White vneck tshirt with grey tattoo style graphic across chest and shoulders. Slightly stretchy synthetic fabric. Excellent condition!

✰ Measurements
Label - no size fits XXS/XS
Length - 18.5”
Shoulder to shoulder - 12” (has some stretch)
Pit to pit - 14”  
XS/S mannequin. 

✰ 2+ items for free UK shipping!!
✰ USA - £9.75
✰ EUROPE - £8.75

🐸 Sales are final! 🐸
FC458","XXS","£26.00","£2.70","£28.70","£0.00","£2.87","£1.13","=""-""","£0.67","£3.33","STRIPE","T-shirts","GB",,,,"N/A","N/A"
"21/04/2023","8:25 PM","16/04/2023","No","dazedconfused04","N/A","Gorpcore rib knit hoodie

00s zip up knit hoodie khaki and brown. Features zip closure at front zips on both sleeves. Excellent condition! 

✰ Measurements
Label - 3 fits like S/M UK8/10/12
Length - 22.5""
Pit to pit - 14.75""
Sleeve from pit - 19.5""
Sleeve from neck - 27""
Composition - 100% cotton
XS/S mannequin. 

✰ 2+ items for free UK shipping!!
✰ USA - £18.50
✰ EUROPE - £11.55

🐸 Sales are final! 🐸
FC453","M","£55.00","£3.95","£58.95","£0.00","£5.90","£2.01","=""-""","£1.32","£6.59","STRIPE","Sweaters","GB",,,,"N/A","N/A"
"23/04/2023","1:30 PM","20/04/2023","No","leonincairo","N/A","Gorpcore rib knit hoodie

00s zip up knit hoodie khaki and brown. Features double zip closure at front zips on both sleeves. Excellent condition! 

✰ Measurements
Label - 2 fits M/L UK10/12/14
Length - 20.5""
Pit to pit - 17.5""
Sleeve from pit - 20.5""
Sleeve from neck - 29.75""
XS/S mannequin. (Wearing same condition size S)

✰ 2+ items for free UK shipping!!
✰ USA - £18.50
✰ EUROPE - £11.55

🐸 Sales are final! 🐸
FC459","M","£50.00","£3.45","£53.45","£0.00","£5.34","£0.00","=""-""","£0.89","£4.45","PAYPAL","Hoodies","GB",,,,"N/A","N/A"
"23/04/2023","3:53 PM","21/04/2023","No","nvironanthaplusplus","N/A","Y2k zip up sweater

00s zip up lightweight jacket/sweater. Features contrast striped ribbed knit details on hem and collar. Green sleeves with yellow piping along sleeve seam. Excellent condition! 

✰ Measurements
Label - M fits S/M UK8/10/12
Length - 19”
Sleeve from neck - 26.5”
Pit to pit - 18.5”
Sleeve from pit - 19.5”
XS/S mannequin. 

✰ 2+ items for free UK shipping!!
✰ USA - £18.50
✰ EUROPE - £11.55

🐸 Sales are final! 🐸
ZC9","M","£44.00","£3.45","£47.45","£0.00","£4.74","£1.68","=""-""","£1.07","£5.35","STRIPE","Outerwear","GB",,,,"N/A","N/A"
"24/04/2023","6:59 PM","13/04/2023","No","**ANONYMIZED_7942186**","Buffalo London","**ANONYMIZED**","S","£20.00","£2.70","£22.70","£0.00","£2.27","£0.96","=""-""","£0.54","£2.69","STRIPE","T-shirts","**ANONYMIZED**",,,,"N/A","N/A"
"25/04/2023","8:28 PM","14/04/2023","No","cercandogrunge","N/A","Gorpcore graphic tee

Y2k 00s graphic text khaki tshirt. Features screen print across front excellent condition! 

✰ Measurements
Label - 3 fits M/L UK10/12/14
Length - 21”
Shoulder to shoulder - 13.5”
Pit to pit - 17”
XS/S mannequin. (Pinned to fit)

✰ 2+ items for free UK shipping!!
✰ USA - £10.55
✰ EUROPE - £8.85

🐸Sales are final!🐸
FC521","L","£24.00","£2.70","£26.70","£0.00","£2.67","£1.07","=""-""","£0.62","£3.12","STRIPE","T-shirts","GB",,,,"N/A","N/A"
"27/04/2023","1:13 PM","16/04/2023","No","silly4lilly","N/A","Gorpcore vneck khaki longsleeve 

Y2k khaki and light green longsleeve tee. Features flowers screen print across front. Contrast light green fabric and tie at side of hem Excellent condition!

✰ Measurements
Label - 1 fits S UK6/8
Length - 20.5""
Shoulder to shoulder - 12""
Pit to pit - 15.5""
Sleeve from pit - 17.5""
XS/S mannequin. 

✰ 2+ items for free UK shipping!!
✰ USA - £10.55
✰ EUROPE - £8.85

🐸 Sales are final! 🐸
FC454","S","£26.00","£2.70","£28.70","£0.00","£2.87","£0.00","=""-""","£0.48","£2.39","PAYPAL","T-shirts","GB",,,,"N/A","N/A"
"27/04/2023","3:59 PM","20/04/2023","No","m3chamind","N/A","Tie dye gorpcore sweater 

00s gorp knit zip up jumper. Asymmetric Khaki/grey colour very soft lightweight knit. Featuring rib knit details on collar cuffs and hem! Excellent condition!

✰ Measurements
Label - M fits M/L UK10/12
Length - 22.5""
Sleeve from neck - 27.5""
Sleeve from pit - 20.5""
Pit to pit - 17.5""
XS/S mannequin. (Pinned to fit)

✰ 2+ items for free UK shipping!!
✰ USA - £18.50
✰ EUROPE - £11.55

🐸 Sales are final! 🐸
FC506","M","£50.00","£3.45","£53.45","£0.00","£5.34","£1.85","=""-""","£1.20","£5.99","STRIPE","Sweaters","GB",,,,"N/A","N/A"
"27/04/2023","6:01 PM","20/04/2023","No","izzijana","N/A","Zip up graphic sweater

2000s black lightweight jacket/sweater. Features raw seam details with contrast stitching. Big Screen print on back with sewn down star patch. Little star patch on front. Excellent condition! 

✰ Measurements
Label - M fits UK10/12
Length - 21.5”
Shoulder to shoulder - 14.5”
Pit to pit - 17.75”
Sleeve from pit - 19”
XS/S mannequin. (Pinned to fit)

✰ 2+ items for free UK shipping!!
✰ USA - £18.50
✰ EUROPE - £11.55

🐸 Sales are final! 🐸
ZC8","M","£48.00","£3.45","£51.45","£0.00","£5.14","£1.79","=""-""","£1.15","£5.78","STRIPE","Outerwear","GB",,,,"N/A","N/A"
"27/04/2023","6:50 PM","14/04/2023","No","sarjam7","Esprit","00s Esprit red tshirt 

2000s esprit red graphic tshirt. Features red/white embroidered flower on chest surrounded by print text. Contrast red/white gradient stitching details. Faint white marks on front visible in photos may come out with a re-dye otherwise great condition!

✰ Measurements
Label - XS/S fits S best UK6/8/10
Length - 20.5""
Shoulder to shoulder - 14""
Pit to pit - 16""
XS/S mannequin. 

✰ 2+ items for free UK shipping!!
✰ USA - £10.55
✰ EUROPE - £8.85

🐸 Sales are final! 🐸
ZC21","S","£20.00","£2.70","£22.70","£0.00","£2.27","£0.96","=""-""","£0.54","£2.69","STRIPE","T-shirts","GB",,,,"N/A","N/A"
"27/04/2023","7:14 PM","15/04/2023","No","avaaxtelll","N/A","Gorpcore graphic tee

Y2k 00s graphic text khaki tshirt. Features screen print across front light piling on chest otherwise excellent condition! 

✰ Measurements
Label - 2 fits S/M UK8/10
Length - 19.5""
Shoulder to shoulder - 12.5""
Pit to pit - 15.5""
Sleeve from pit - 1""
XS/S mannequin. 

✰ 2+ items for free UK shipping!!
✰ USA - £10.55
✰ EUROPE - £8.85

🐸Sales are final!🐸
FC461","M","£26.00","£2.70","£28.70","£0.00","£2.87","£0.00","=""-""","£0.48","£2.39","PAYPAL","T-shirts","GB",,,,"N/A","N/A"
"01/05/2023","9:22 AM","21/04/2023","No","chloiss","Esprit","Esprit double zip jumper

00s Esprit black mini rib jumper. Features good quality double zipper down front with a leather zip puller. Quite a long fit excellent condition!

✰ Measurements
Label - M fits UK10/12
Length - 24”
Pit to pit - 16.5”
Sleeve from neck - 29.5”
Sleeve from pit - 20.5”
XS/S mannequin. (Pinned to fit)

✰ 2+ items for free UK shipping!!
✰ USA - £18.50
✰ EUROPE - £11.55

🐸 Sales are final! 🐸
ZC30","M","£50.00","£0.00","£50.00","£0.00","£5.00","£1.75","=""-""","£1.13","£5.62","STRIPE","Sweaters","GB",,,,"N/A","N/A"
"01/05/2023","9:44 AM","20/04/2023","No","imanh001","N/A","00s khaki adjustable toggle jacket

Khaki zip up jacket with asymmetric details. Contrast orange features such as adjustable back and front toggles asymmetric zip! Excellent condition!

✰ Measurements
Label - 2 fits M/L UK10/12/14
Length - 23.5” (un-elasticated)
Shoulder to shoulder - 16”
Pit to pit - 18”
Sleeve from pit - 18”
XS/S mannequin. (Pinned to fit)

✰ 2+ items for free UK shipping!!
✰ USA - £18.50
✰ EUROPE - £11.55

🐸 Sales are final! 🐸
FC455","L","£50.00","£3.45","£53.45","£0.00","£5.34","£0.00","=""-""","£0.89","£4.45","PAYPAL","Outerwear","GB",,,,"N/A","N/A"
"01/05/2023","4:32 PM","28/01/2023","Yes","mollyrymnd_","N/A","Gorpcore khaki graphic T-shirt

Light khaki colour with darker print and green text. Excellent condition!

✰ Measurements
Label - 1 fits S UK8
Length - 21”
Pit to pit - 15.5”
Shoulder to shoulder - 12”
Sleeve from pit - 1”
XS/S mannequin. 

✰ 2+ items for free UK shipping!!
✰ USA - £9.75
✰ EUROPE - £8.75

🦋 Sales are final! 🦋","S","£26.00","£0.00","£50.00","£0.00","£2.60","£1.75","=""-""","£0.72","£3.63","STRIPE","T-shirts","GB",,,,"N/A","N/A"
"01/05/2023","4:32 PM","02/02/2023","Yes","mollyrymnd_","N/A","Gorpcore black baby tee

Vintage 00s black T-shirt with screen print on front. Reads ‘space robot’. Print a little cracked due to age otherwise great condition! 

✰ Measurements
Label - S fits UK6-8
Length - 21""
Pit to pit - 13.75""
Shoulder to shoulder - 13""
Sleeve from pit - 1""
XS/S mannequin. 

✰ 2+ items for free UK shipping!!
✰ USA - £9.75
✰ EUROPE - £8.75

🐸 Sales are final! 🐸","XS","£24.00","=""-""","=""-""","=""-""","£2.40","=""-""","=""-""","=""-""","=""-""","STRIPE","T-shirts","GB","=""-""","=""-""","=""-""","N/A","N/A"
"02/05/2023","4:29 PM","21/04/2023","No","archiveofalesha","Kappa","Kappa zip up sweater 

2000s Kappa zip jacket/sweater. Features Japanese lettering patches across chest. Italy patch on right arm and kappa patch on left arm. Ribbed off white/blue cuffs and collar. ‘italia’ embroidery on back. Excellent condition!

✰ Measurements
Label - men’s S shown oversized on UK8
Length - 25”
Shoulder to shoulder - 19”
Pit to pit - 21.5”
Sleeve from pit - 21”
XS/S mannequin. 

✰ 2+ items for free UK shipping!!
✰ USA - £18.50
✰ EUROPE - £11.55

🐸 Sales are final! 🐸
ZC17","S","£32.00","£3.45","£35.45","£0.00","£3.54","£1.33","=""-""","£0.81","£4.06","STRIPE","Outerwear","GB",,,,"N/A","N/A"
"02/05/2023","7:21 PM","16/04/2023","No","leonams","Diesel","Diesel crossbody bag

Printed Diesel crossbody bag. Features blue running paint graphic and black dye splashes. Zip compartment on outer flap small interior pocket (missing a zip but no damage so might be a factory fault?). Stains around main opening as pictured (some fainter ones along zip). Otherwise excellent condition!

✰ Measurements
Width - 14.5”
Height - 16.75”
Opening - 13.5”
XS/S mannequin. 

✰ 2+ items for free UK shipping!!
✰ USA - £18.50
✰ EUROPE - £11.55

🐸 Sales are final! 🐸",,"£60.00","£18.50","£78.50","£0.00","£7.85","£2.58","=""-""","£1.74","£8.69","STRIPE","Bags & Purses","NO",,,,"N/A","N/A"
"03/05/2023","8:19 PM","04/01/2023","No","111_holly","N/A","Y2k Angel tshirt 

00s tee with little v neck. Features angel screen print on front and wings on back. Excellent condition!! 

✰ Measurements
Label - S fits xs-s UK6-10
Length - 20.5”
Pit to pit - 15”
Shoulder to shoulder - 14”
Sleeve - 5.5”
XS/S mannequin. 

✰ 2+ items for free UK shipping!!
✰ USA - £10
✰ EUROPE - £9

🦋 Sales are final! 🦋","S","£22.00","£3.05","£25.05","£0.00","£2.50","£1.03","=""-""","£0.59","£2.94","STRIPE","T-shirts","GB",,,,"N/A","N/A"
"04/05/2023","6:51 AM","14/04/2023","No","misstropical","N/A","Diamanté racing tshirt 

2000s MotoGP black racing tshirt. Features red and silver diamanté ‘R GSX’ graphic. Missing two rhinestones otherwise excellent condition!

✰ Measurements
Label - no label fits S/M UK8/10
Length - 22.5""
Shoulder to shoulder - 13""
Pit to pit - 16""
Sleeve from pit - 1.5""
XS/S mannequin. 

✰ 2+ items for free UK shipping!!
✰ USA - £10.55
✰ EUROPE - £8.85

🐸 Sales are final! 🐸
FC510","S","£24.00","£2.70","£26.70","£0.00","£2.67","£1.07","=""-""","£0.62","£3.12","STRIPE","T-shirts","GB",,,,"N/A","N/A"
